event.master_deck,event.relics,event.victory,event.character_chosen,event.items_purchased,event.ascension_level,event.gold_per_floor,event.potions_obtained
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast""]","[""Cracked Core""]",false,DEFECT,[],5,"[99,99]",[]
"[""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap+1"",""Dualcast+1"",""White Noise"",""Gash"",""Ball Lightning"",""Leap"",""Steam Power"",""Capacitor"",""Lockon"",""Gash"",""Echo Form"",""Hologram"",""Defragment""]","[""Cracked Core"",""Ancient Tea Set"",""Shuriken"",""Potion Belt"",""Nunchaku"",""Gremlin Horn"",""Eternal Feather""]",false,DEFECT,"[""Ball Lightning"",""Capacitor""]",3,"[115,130,130,32,107,140,140,174,174,3,22,22,22,32,32,135,135,150,161,36,36,36]","[{""floor"":6,""key"":""Explosive Potion""},{""floor"":8,""key"":""PowerPotion""},{""floor"":11,""key"":""Block Potion""}]"
"[""AscendersBane"",""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Darkness"",""Capacitor"",""Conserve Battery""]","[""Cracked Core""]",false,DEFECT,[],12,"[114,134,309,327,277,277,277]","[{""floor"":4,""key"":""Weak Potion""}]"
"[""Strike_R"",""Strike_R"",""Defend_R"",""Bash"",""Blind"",""Armaments+1"",""Warcry+1"",""Battle Trance"",""Metallicize+1"",""Demon Form+1"",""Body Slam+1"",""Sentinel"",""Body Slam+1"",""Limit Break"",""Juggernaut"",""Pummel+1""]","[""Black Blood"",""Magic Flower"",""Darkstone Periapt"",""Potion Belt"",""Incense Burner"",""Orichalcum"",""Shovel"",""Art of War"",""Runic Pyramid""]",false,IRONCLAD,"[""Metallicize""]",0,"[110,124,104,124,55,55,113,113,113,133,161,161,179,104,104,199,199,212,212,212,224,124,124,140,166,166,181,181,181,198,198,198,302,302,320,331,331,331,331]","[{""floor"":3,""key"":""EntropicBrew""},{""floor"":4,""key"":""AttackPotion""},{""floor"":7,""key"":""BloodPotion""},{""floor"":13,""key"":""GamblersBrew""},{""floor"":16,""key"":""BloodPotion""},{""floor"":18,""key"":""SkillPotion""},{""floor"":24,""key"":""Explosive Potion""},{""floor"":36,""key"":""Weak Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash+1"",""Thunderclap"",""Battle Trance"",""Cleave"",""Demon Form+1"",""Dropkick"",""Inflame"",""True Grit+1"",""Exhume"",""Pommel Strike+1"",""Power Through"",""Shrug It Off"",""Seeing Red+1"",""Rampage+1"",""Ghostly Armor"",""Uppercut+1"",""Disarm""]","[""Burning Blood"",""PreservedInsect"",""Golden Idol"",""Lantern"",""Matryoshka"",""Philosopher's Stone"",""Bottled Tornado"",""Molten Egg 2"",""MawBank"",""Centennial Puzzle"",""Smiling Mask"",""Darkstone Periapt"",""Dodecahedron""]",false,IRONCLAD,"[""Cleave"",""Explosive Potion"",""Shrug It Off"",""Seeing Red""]",8,"[119,119,138,138,10,10,49,64,64,13,13,27,27,42,42,173,173,196,196,196,1,1,35,65,77,112,223,268,298,219,231,231]","[{""floor"":1,""key"":""BloodPotion""},{""floor"":7,""key"":""FearPotion""},{""floor"":16,""key"":""SpeedPotion""},{""floor"":28,""key"":""Ancient Potion""},{""floor"":29,""key"":""Dexterity Potion""}]"
"[""AscendersBane"",""Strike_R"",""Strike_R+1"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash"",""Sword Boomerang+1"",""Headbutt+1"",""Shrug It Off+1"",""Flex"",""Immolate+1"",""Power Through"",""Inflame"",""Evolve+1"",""Armaments"",""Juggernaut"",""Ghostly"",""Ghostly"",""Ghostly""]","[""Burning Blood"",""FaceOfCleric"",""Whetstone"",""Paper Frog"",""Dodecahedron"",""Sozu"",""Medical Kit""]",false,IRONCLAD,"[""Flex"",""Evolve"",""Medical Kit""]",18,"[109,109,126,75,75,106,106,136,218,231,147,147,147,165,165,242,242,257,257,34,49,49,49]","[{""floor"":8,""key"":""Weak Potion""},{""floor"":14,""key"":""Regen Potion""},{""floor"":16,""key"":""FearPotion""}]"
"[""AscendersBane"",""Defend_R"",""Defend_R"",""Bash"",""Cleave"",""Spot Weakness+1"",""Disarm+1"",""Heavy Blade+1"",""Shrug It Off"",""Immolate+1"",""Ghostly Armor"",""Immolate"",""Flex+1"",""Flame Barrier+1"",""Burning Pact+1"",""Armaments+1"",""Disarm+1"",""Demon Form"",""Hemokinesis""]","[""Burning Blood"",""Juzu Bracelet"",""Art of War"",""Sundial"",""Astrolabe"",""Pantograph"",""Mercury Hourglass""]",false,IRONCLAD,"[""Shrug It Off"",""Disarm""]",18,"[110,35,35,35,5,5,36,53,53,53,18,18,18,18,18,95,95,108,32,32,82,82,82,94,94,94,94,94,94,126,138,138,138,138]","[{""floor"":7,""key"":""Poison Potion""},{""floor"":16,""key"":""Dexterity Potion""},{""floor"":18,""key"":""LiquidBronze""},{""floor"":31,""key"":""Swift Potion""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap+1"",""Dualcast+1"",""Thunder Strike""]","[""Cracked Core"",""Dead Branch"",""Happy Flower"",""Juzu Bracelet"",""Incense Burner""]",false,DEFECT,[],0,"[11,111,111,126,126,126,51,86,86,103,178,178,197,209,209,209,209]","[{""floor"":4,""key"":""SteroidPotion""},{""floor"":10,""key"":""Poison Potion""},{""floor"":14,""key"":""Fire Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash""]","[""Burning Blood"",""NeowsBlessing""]",false,IRONCLAD,[],1,"[99,99]",[]
"[""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap+1"",""Dualcast"",""Streamline"",""Beam Cell"",""Auto Shields"",""Lockon"",""Ball Lightning"",""Sunder"",""Conserve Battery"",""Storm"",""Redo"",""Tempest"",""Multi-Cast"",""Melter+1"",""Capacitor"",""FTL"",""Stack+1"",""Stack+1""]","[""Cracked Core"",""Ornamental Fan"",""Strawberry"",""Bag of Preparation"",""Dodecahedron"",""Chemical X"",""Philosopher's Stone"",""Du-Vu Doll"",""Bronze Scales""]",false,DEFECT,"[""Storm"",""Chemical X""]",0,"[112,123,202,216,216,234,248,275,300,335,27,37,57,57,57,152,152,171,171,86,106,125,153,153,153,153]","[{""floor"":6,""key"":""SkillPotion""},{""floor"":10,""key"":""Explosive Potion""},{""floor"":12,""key"":""PowerPotion""},{""floor"":13,""key"":""Explosive Potion""},{""floor"":16,""key"":""PowerPotion""},{""floor"":21,""key"":""Dexterity Potion""},{""floor"":23,""key"":""SteroidPotion""}]"
"[""Strike_R"",""Defend_R"",""Defend_R"",""Bash"",""Inflame"",""Evolve"",""Sword Boomerang+1"",""Feed"",""Disarm+1"",""Pommel Strike+1"",""Spot Weakness+1"",""Pommel Strike+1"",""Burning Pact+1"",""Heavy Blade+1""]","[""Fusion Hammer"",""Sundial"",""Smiling Mask"",""Pear"",""Astrolabe""]",false,IRONCLAD,[],3,"[113,38,38,48,48,48,64,64,87,100,50,50,76,94,94,190,190,208,223,239,254,254,254]","[{""floor"":4.0,""key"":""Ancient Potion""},{""floor"":13,""key"":""Weak Potion""},{""floor"":14,""key"":""Fruit Juice""},{""floor"":19,""key"":""Block Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash"",""Whirlwind"",""Armaments+1"",""Metallicize"",""Uppercut"",""Disarm"",""Metallicize"",""True Grit""]","[""Burning Blood"",""Golden Idol"",""Letter Opener"",""Potion Belt"",""Ornamental Fan""]",false,IRONCLAD,"[""Whirlwind"",""Armaments""]",8,"[116,18,18,18,36,67,87,87,87,117,137,150,183,198,198,198,198]","[{""floor"":5,""key"":""SteroidPotion""},{""floor"":11,""key"":""Regen Potion""},{""floor"":13,""key"":""FearPotion""}]"
"[""AscendersBane"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash+1"",""Offering"",""Shrug It Off"",""Twin Strike+1"",""Feed+1"",""Blood for Blood+1"",""Shrug It Off"",""Body Slam+1"",""Anger"",""Clothesline"",""Dropkick"",""Reaper"",""Iron Wave"",""Ghostly Armor+1"",""Pommel Strike+1"",""True Grit"",""Seeing Red+1"",""Pommel Strike+1"",""Exhume"",""Panache"",""Secret Technique"",""Madness"",""Madness"",""Twin Strike+1"",""Perfected Strike+1"",""Shockwave"",""Havoc+1"",""Feel No Pain+1"",""Offering""]","[""Burning Blood"",""Gremlin Horn"",""Red Skull"",""Sozu"",""Happy Flower"",""Meat on the Bone"",""Bag of Marbles"",""Shovel"",""Boot"",""Regal Pillow"",""Bronze Scales"",""Whetstone"",""Busted Crown"",""Ice Cream"",""Frozen Egg 2"",""Champion Belt"",""Anchor"",""Pear""]",false,IRONCLAD,"[""Blood for Blood"",""Happy Flower"",""Meat on the Bone"",""Whetstone"",""Feel No Pain+1"",""Offering""]",16,"[113,131,131,19,39,74,85,85,139,139,151,151,170,445,445,522,522,540,558,577,48,48,77,77,107,131,131,160,179,179,18,18,94,94,105,125,125,125,135,135,153,153,153,183,200,215,215,7,7,7,7]","[{""floor"":2,""key"":""Swift Potion""},{""floor"":6,""key"":""SkillPotion""},{""floor"":7,""key"":""SteroidPotion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R+1"",""Defend_R+1"",""Bash"",""Pommel Strike"",""Heavy Blade"",""Iron Wave+1"",""Infernal Blade"",""Anger"",""Spot Weakness"",""Cleave"",""Bludgeon"",""Cleave+1"",""Armaments+1"",""Flex"",""Decay""]","[""Burning Blood"",""Oddly Smooth Stone"",""Matryoshka"",""Centennial Puzzle"",""Pear"",""Pen Nib"",""Mummified Hand"",""Regal Pillow"",""Sundial"",""Dodecahedron""]",false,IRONCLAD,"[""Mummified Hand""]",0,"[211,230,230,248,248,280,280,312,312,312,324,344,370,381,381,481,481,499,509,188,198,216,216,250,250,321,336,336,336]","[{""floor"":6,""key"":""Energy Potion""},{""floor"":8,""key"":""Swift Potion""},{""floor"":11,""key"":""Weak Potion""},{""floor"":12,""key"":""EssenceOfSteel""},{""floor"":22,""key"":""LiquidBronze""},{""floor"":24,""key"":""BloodPotion""}]"
"[""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize"",""Mind Blast"",""Enlightenment"",""Shame"",""Blade Dance"",""Accuracy"",""Sucker Punch"",""Endless Agony"",""Slice"",""Poisoned Stab"",""Slice"",""Slice""]","[""Ring of the Snake"",""Regal Pillow"",""Anchor""]",false,THE_SILENT,[],3,"[113,130,148,163,175,175,175,200,200,200,211,229,259,259,259,259,259]","[{""floor"":2,""key"":""Poison Potion""},{""floor"":3,""key"":""Energy Potion""},{""floor"":4,""key"":""Regen Potion""}]"
"[""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Survivor"",""Neutralize"",""Sucker Punch"",""Accuracy+1"",""Infinite Blades"",""Blade Dance+1"",""Footwork"",""Blade Dance"",""Dash"",""Burst"",""Leg Sweep"",""Concentrate"",""Well Laid Plans"",""Bite"",""Bite"",""Bite"",""Bite"",""Bite""]","[""Ring of the Snake"",""Strawberry"",""Tiny Chest"",""Matryoshka"",""WristBlade"",""Medical Kit""]",false,THE_SILENT,"[""Accuracy"",""Well Laid Plans"",""Medical Kit""]",2,"[119,42,52,52,62,90,90,110,140,172,185,185,185,196,196,291,291,309,319,37,53,53,53,53]","[{""floor"":0,""key"":""SpeedPotion""},{""floor"":0,""key"":""SteroidPotion""},{""floor"":0,""key"":""Explosive Potion""},{""floor"":5,""key"":""GhostInAJar""},{""floor"":10,""key"":""Swift Potion""},{""floor"":11,""key"":""Ancient Potion""},{""floor"":21,""key"":""GamblersBrew""}]"
"[""Defend_G"",""Defend_G"",""Defend_G"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize"",""Blur+1"",""Blur+1"",""Dagger Spray"",""Choke"",""Endless Agony"",""Heel Hook"",""Sucker Punch+1"",""A Thousand Cuts+1"",""Infinite Blades+1"",""Noxious Fumes+1"",""Footwork+1"",""Concentrate"",""Storm of Steel"",""Caltrops+1"",""Escape Plan+1"",""Flying Knee"",""Footwork+1""]","[""Ring of the Snake"",""NeowsBlessing"",""Gambling Chip"",""Shuriken"",""Mercury Hourglass"",""Runic Pyramid"",""Vajra"",""Thread and Needle"",""Tiny Chest"",""Lantern"",""MutagenicStrength"",""Frozen Egg 2"",""Empty Cage"",""Regal Pillow"",""Bottled Flame"",""Red Mask""]",false,THE_SILENT,"[""Blur"",""Thread and Needle"",""Noxious Fumes"",""Footwork+1"",""Regal Pillow"",""Fire Potion""]",0,"[118,49,49,49,68,88,105,105,105,123,149,149,249,259,259,360,360,371,397,417,18,36,36,98,98,150,150,150,150,71,88,88,187,187,205,205,217,67,67,67,99,99,124,137,154,5,0,0,0]","[{""floor"":1,""key"":""Fruit Juice""},{""floor"":10,""key"":""GhostInAJar""},{""floor"":14,""key"":""SkillPotion""},{""floor"":18,""key"":""PowerPotion""},{""floor"":20,""key"":""SteroidPotion""},{""floor"":37,""key"":""SkillPotion""},{""floor"":41,""key"":""Energy Potion""}]"
"[""Defend_G"",""Defend_G"",""Defend_G+1"",""Defend_G"",""Defend_G"",""Strike_G"",""Strike_G+1"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize"",""Poisoned Stab"",""Blade Dance"",""Infinite Blades+1"",""Blade Dance"",""A Thousand Cuts+1""]","[""Ring of the Snake"",""Thread and Needle"",""Strawberry"",""Art of War"",""Singing Bowl""]",false,THE_SILENT,[],4,"[17,32,52,66,84,84,111,36,83,111,111,111,75,75,75]","[{""floor"":3,""key"":""Weak Potion""},{""floor"":7,""key"":""PowerPotion""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Self Repair"",""Redo+1"",""Chaos+1"",""Self Repair"",""Amplify+1"",""Electrodynamics"",""Redo"",""Storm"",""Defragment""]","[""Cracked Core"",""NeowsBlessing"",""Mercury Hourglass"",""Bag of Marbles"",""Inserter""]",false,DEFECT,"[""Redo""]",0,"[110,185,64,239,139,139,173,190,216,227,246,263,263,274,274,377,377,394,469,487,503,522,522,522,522,522]","[{""floor"":1,""key"":""Ancient Potion""},{""floor"":7,""key"":""FairyPotion""},{""floor"":8,""key"":""LiquidBronze""},{""floor"":16,""key"":""SteroidPotion""},{""floor"":18,""key"":""Explosive Potion""},{""floor"":21,""key"":""SkillPotion""},{""floor"":22,""key"":""Swift Potion""}]"
"[""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Strike_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Defend_R"",""Bash"",""Cleave"",""Barricade"",""Cleave"",""Flex"",""Twin Strike"",""Twin Strike"",""Metallicize""]","[""Burning Blood"",""PreservedInsect"",""Boot"",""Gremlin Horn""]",false,IRONCLAD,"[""Twin Strike""]",4,"[119,129,129,205,221,254,254,270,270,270,223,240,315,333,333,333,333]","[{""floor"":6,""key"":""PowerPotion""},{""floor"":12,""key"":""Block Potion""}]"
"[""AscendersBane"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Gash"",""Double Energy""]","[""Busted Crown""]",false,DEFECT,[],15,"[119,194,194,204,204,204,204]","[{""floor"":4,""key"":""Fire Potion""}]"
"[""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize"",""Mind Blast"",""HandOfGreed"",""Outmaneuver"",""Distraction""]","[""Ring of the Snake"",""SsserpentHead""]",false,THE_SILENT,[],4,"[129,169,169,169,255,255,275,275]","[{""floor"":2,""key"":""Ancient Potion""}]"
"[""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G+1"",""Defend_G"",""Strike_G+1"",""Survivor"",""Neutralize+1"",""Noxious Fumes+1"",""Noxious Fumes+1"",""Deflect"",""Infinite Blades+1"",""Well Laid Plans+1"",""Blade Dance"",""Crippling Poison+1"",""Cloak And Dagger+1"",""After Image+1"",""A Thousand Cuts+1"",""Storm of Steel+1"",""Bouncing Flask+1"",""Footwork+1"",""Dodge and Roll+1"",""Deflect"",""Accuracy"",""Leg Sweep"",""Footwork+1"",""Crippling Poison"",""Cloak And Dagger"",""Adrenaline+1"",""Deflect+1"",""Caltrops+1"",""Infinite Blades"",""PiercingWail+1""]","[""Ring of the Snake"",""NeowsBlessing"",""Bag of Marbles"",""Vajra"",""Astrolabe"",""Du-Vu Doll"",""Question Card"",""Juzu Bracelet"",""Mercury Hourglass"",""Calipers"",""Dodecahedron"",""PreservedInsect"",""Black Star"",""Strawberry"",""Bird Faced Urn"",""Ancient Tea Set"",""Turnip"",""Ginger"",""Lantern"",""The Specimen""]",false,THE_SILENT,"[""Noxious Fumes"",""Accuracy"",""Leg Sweep"",""Cloak And Dagger"",""SkillPotion"",""AttackPotion"",""LiquidBronze"",""Infinite Blades"",""Poison Potion"",""LiquidBronze""]",5,"[118,118,118,44,62,93,106,124,124,124,135,135,145,165,165,261,261,273,198,198,298,398,398,433,364,364,364,279,310,105,115,115,218,218,234,18,18,33,33,53,53,80,80,80,80,109,109,209,209,209,209,209,4,32,32,32]","[{""floor"":5.0,""key"":""EssenceOfSteel""},{""floor"":8.0,""key"":""PowerPotion""},{""floor"":11.0,""key"":""GhostInAJar""},{""floor"":33.0,""key"":""Block Potion""},{""floor"":38.0,""key"":""Fire Potion""},{""floor"":46.0,""key"":""Swift Potion""},{""floor"":48.0,""key"":""Explosive Potion""}]"
"[""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize+1"",""PiercingWail"",""Cloak And Dagger+1"",""Envenom+1"",""Dagger Throw"",""Quick Slash+1"",""Poisoned Stab+1"",""Venomology"",""Backflip+1"",""Accuracy"",""Choke+1"",""Infinite Blades""]","[""Ring of the Snake"",""Orichalcum"",""Bag of Preparation"",""Gambling Chip"",""Molten Egg 2"",""PreservedInsect"",""Busted Crown"",""Red Mask"",""Pantograph"",""Vajra"",""Blood Vial""]",false,THE_SILENT,"[""PreservedInsect"",""Poisoned Stab+1"",""Vajra"",""Infinite Blades"",""Regen Potion""]",9,"[113,113,129,146,96,131,148,148,148,148,148,168,0,75,75,173,173,159,179,206,281,294,294,309,328,405,132,162,177,177,193,193,193,193]","[{""floor"":1,""key"":""AttackPotion""},{""floor"":7,""key"":""Fire Potion""},{""floor"":16,""key"":""Poison Potion""},{""floor"":24,""key"":""Fruit Juice""},{""floor"":28,""key"":""EssenceOfSteel""},{""floor"":29,""key"":""LiquidBronze""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Compile Driver"",""Gash"",""Coolheaded"",""Scrape"",""Compile Driver"",""Ball Lightning"",""Gash"",""Stack+1""]","[""Cracked Core"",""NeowsBlessing"",""Shuriken"",""Bottled Lightning"",""PreservedInsect"",""Letter Opener"",""Vajra""]",false,DEFECT,"[""Gash"",""Defragment"",""Vajra""]",0,"[111,111,23,33,48,78,78,135,135,135,145,2,14,27,27,27,27]","[{""floor"":1,""key"":""FocusPotion""},{""floor"":4,""key"":""FocusPotion""},{""floor"":8,""key"":""LiquidBronze""},{""floor"":14,""key"":""Fruit Juice""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Redo"",""Injury"",""Cold Snap"",""Barrage+1"",""Cold Snap"",""Self Repair+1""]","[""Coffee Dripper"",""Golden Idol"",""Juzu Bracelet"",""DataDisk"",""Runic Capacitor""]",false,DEFECT,"[""Runic Capacitor""]",8,"[109,109,132,148,168,168,168,168,194,208,208,17,17,17]","[{""floor"":4,""key"":""Block Potion""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B+1"",""Zap+1"",""Dualcast"",""Rebound"",""Recycle+1"",""Gash+1"",""Gash+1"",""All For One"",""Double Energy"",""Go for the Eyes"",""Self Repair"",""Self Repair"",""Doubt""]","[""Cracked Core"",""Prayer Wheel"",""Bag of Marbles"",""Vajra"",""Golden Idol""]",false,DEFECT,[],1,"[16,16,30,30,43,43,71,71,96,96,96,96,121,296,296,296,296]","[{""floor"":1,""key"":""Fire Potion""},{""floor"":5,""key"":""SkillPotion""}]"
"[""AscendersBane"",""Survivor+1"",""Neutralize"",""Noxious Fumes+1"",""Flying Knee"",""Deadly Poison+1"",""Backflip"",""Secret Technique"",""Well Laid Plans"",""Madness"",""Catalyst+1"",""Footwork+1"",""Noxious Fumes"",""Leg Sweep"",""Night Terror+1"",""Backflip"",""Crippling Poison"",""A Thousand Cuts+1"",""Footwork+1"",""Flash of Steel"",""Terror+1"",""Poisoned Stab+1"",""Adrenaline+1"",""Escape Plan+1"",""After Image+1"",""Blade Dance+1"",""Poisoned Stab+1"",""Caltrops+1"",""Footwork+1"",""Deadly Poison+1"",""Footwork+1"",""Thinking Ahead+1"",""Backflip+1"",""Footwork+1"",""Backflip+1"",""Deadly Poison+1"",""Madness+1"",""Madness+1"",""Footwork+1"",""Infinite Blades+1"",""PiercingWail+1"",""Footwork+1"",""Accuracy+1"",""Night Terror+1""]","[""Ring of the Snake"",""Strawberry"",""Question Card"",""Pocketwatch"",""HandDrill"",""Ornamental Fan"",""MealTicket"",""Prayer Wheel"",""Snake Skull"",""Bottled Lightning"",""Orichalcum"",""Black Star"",""TheAbacus"",""Mercury Hourglass"",""Regal Pillow"",""Ancient Tea Set"",""Frozen Egg 2"",""Juzu Bracelet"",""StoneCalendar"",""Toxic Egg 2"",""The Specimen"",""Oddly Smooth Stone"",""Astrolabe"",""Toy Ornithopter"",""Dream Catcher"",""War Paint"",""Matryoshka"",""Boot"",""DollysMirror"",""PreservedInsect"",""Molten Egg 2"",""Anchor"",""Kunai"",""Bag of Preparation"",""Blue Candle"",""Letter Opener"",""Lantern"",""Membership Card"",""Pear"",""Centennial Puzzle"",""Mummified Hand"",""Happy Flower""]",true,THE_SILENT,"[""Question Card"",""Pocketwatch"",""HandDrill"",""Noxious Fumes"",""Flying Knee"",""GhostInAJar"",""MealTicket"",""Prayer Wheel"",""Snake Skull"",""Secret Technique"",""Well Laid Plans"",""Madness"",""TheAbacus"",""Mercury Hourglass"",""Regal Pillow"",""Footwork"",""Flash of Steel"",""Toy Ornithopter"",""Dream Catcher"",""War Paint"",""Mayhem+1"",""Footwork+1"",""Deadly Poison+1"",""Matryoshka"",""Boot"",""DollysMirror"",""Thinking Ahead+1"",""Membership Card"",""Pear"",""Centennial Puzzle"",""Fruit Juice"",""PowerPotion"",""Accuracy+1""]",16,"[25109,23993,24012,24025,23950,23950,23984,23995,23995,22830,22855,22865,22865,22893,22893,22972,22972,22988,23002,23002,23018,22034,22060,22060,22088,22088,22088,22101,22115,22150,22150,22150,22225,22225,22241,21344,21362,21362,20192,20227,20227,20245,20245,20274,20274,20290,20322,20340,20340,20340,20340,20340,19703,19738,19738]","[{""floor"":1,""key"":""Fire Potion""},{""floor"":12,""key"":""LiquidBronze""},{""floor"":14,""key"":""Poison Potion""},{""floor"":21,""key"":""FearPotion""},{""floor"":28,""key"":""SpeedPotion""},{""floor"":29,""key"":""Fruit Juice""},{""floor"":33,""key"":""LiquidBronze""},{""floor"":37,""key"":""Energy Potion""},{""floor"":42,""key"":""Ancient Potion""}]"
"[""Strike_B"",""Strike_B"",""Strike_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Defend_B"",""Zap"",""Dualcast"",""Madness+1"",""Gash"",""Coolheaded"",""Defragment"",""Capacitor"",""Rebound"",""Conserve Battery"",""Ball Lightning"",""Cold Snap"",""Electrodynamics"",""Conserve Battery"",""Self Repair"",""Shame"",""Beam Cell+1""]","[""Cracked Core"",""PreservedInsect"",""Happy Flower"",""Nuclear Battery"",""Ornamental Fan"",""MutagenicStrength"",""Oddly Smooth Stone"",""Lantern"",""Art of War"",""Singing Bowl"",""Meat on the Bone"",""MawBank""]",false,DEFECT,"[""Defragment"",""Self Repair"",""Oddly Smooth Stone""]",0,"[116,129,129,143,75,75,107,124,124,136,151,151,76,91,91,192,192,212,227,241,241,241,241,241,25,48,48,74,74,99,129,141,153,153]","[{""floor"":2,""key"":""Regen Potion""},{""floor"":7,""key"":""PowerPotion""},{""floor"":14,""key"":""AttackPotion""},{""floor"":16,""key"":""FocusPotion""},{""floor"":30,""key"":""Dexterity Potion""}]"
"[""AscendersBane"",""Defend_G"",""Defend_G"",""Defend_G"",""Defend_G"",""Survivor"",""Neutralize+1"",""Sucker Punch+1"",""Bandage Up"",""Heel Hook"",""Dodge and Roll"",""Malaise"",""Flying Knee"",""Noxious Fumes"",""Adrenaline"",""Dagger Throw+1"",""Bite"",""Bite"",""Bite"",""Bite"",""Bite"",""J.A.X.+1"",""Quick Slash""]","[""Ring of the Snake"",""Golden Idol"",""Singing Bowl"",""Lizard Tail"",""Oddly Smooth Stone"",""Meat on the Bone"",""Gremlin Horn"",""Dream Catcher"",""Matryoshka""]",false,THE_SILENT,"[""Bandage Up"",""Oddly Smooth Stone"",""Block Potion"",""Regen Potion"",""Quick Slash""]",17,"[115,115,7,30,30,30,43,8,35,35,60,79,120,133,133,227,227,245,245,16,16,95,131,131,172,172,197,197,11,11,24,24,24,24]","[{""floor"":11.0,""key"":""GhostInAJar""},{""floor"":16.0,""key"":""EssenceOfSteel""},{""floor"":27.0,""key"":""SkillPotion""},{""floor"":30.0,""key"":""Swift Potion""},{""floor"":31.0,""key"":""EssenceOfSteel""}]"
"[""Defend_G"",""Defend_G+1"",""Defend_G"",""Defend_G"",""Defend_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Strike_G"",""Survivor"",""Neutralize+1"",""Prepared+1"",""Prepared"",""Slice"",""Distraction+1"",""Sucker Punch""]","[""Ring of the Snake"",""NeowsBlessing"",""Frozen Eye"",""Bottled Lightning"",""Torii""]",false,THE_SILENT,"[""Frozen Eye""]",0,"[114,114,114,132,132,307,26,42,42,67,67,80,80,97,97,97,97]","[{""floor"":2,""key"":""Fire Potion""},{""floor"":2,""key"":""Weak Potion""},{""floor"":2,""key"":""Poison Potion""},{""floor"":4,""key"":""Fire Potion""},{""floor"":12,""key"":""SneckoOil""},{""floor"":14,""key"":""Ancient Potion""}]"
